Year,Provocation,Activity,Day,Month,Injury,State,Latitude,Longitude,SharkName,SharkLength,InjuryLocation,Gender,Age,IncidentTime,SharkScientific
1791,unprovoked,swimming,1.0,1,fatal,NSW,-33.86666667,151.2,white shark,3.375,torso,female,,,Carcharodon carcharias
1803,unprovoked,swimming,22.0,3,injured,WA,-25.83333333,113.8833333,tiger shark,3.166265060240964,Unknown,male,,,Galeocerdo cuvier
1807,unprovoked,swimming,18.0,1,injured,NSW,-33.86666667,151.2,bull shark,2.4013698630136986,"""arm, hand""",male,,,Carcharhinus leucas
1820,provoked,swimming,1.0,1,fatal,TAS,-42.8,147.5333333,unknown species,1.9428571428571428,leg,male,,,Unknown species
1825,unprovoked,swimming,1.0,1,injured,NSW,-33.85,151.2166667,bull shark,2.4013698630136986,leg,male,15.0,,Carcharhinus leucas
1830,unprovoked,swimming,1.0,1,injured,TAS,-43.28333333,147.3333333,white shark,3.375,arm,female,,,Carcharodon carcharias
1832,provoked,swimming,20.0,1,injured,NSW,-33.86666667,151.1833333,bull shark,2.4013698630136986,leg,male,,,Carcharhinus leucas
1832,provoked,fishing,4.0,6,injured,NSW,-33.83333333,151.2666667,white shark,3.375,leg,female,,,Carcharodon carcharias
1836,unprovoked,swimming,1.0,1,injured,SA,-34.95,138.5,white shark,3.375,Unknown,male,,,Carcharodon carcharias
1836,unprovoked,swimming,1.0,8,fatal,QLD,-25.48333333,152.9833333,whaler shark,2.2,other: body not recovered,male,,,Carcharhinidae
1836,unprovoked,swimming,1.0,8,fatal,QLD,-25.48333333,152.9833333,whaler shark,2.2,other: body not recovered,male,,,Carcharhinidae
1837,unprovoked,swimming,17.0,1,fatal,NSW,-30.93333333,153.0166667,bull shark,2.4013698630136986,leg,male,12.0,,Carcharhinus leucas
1839,provoked,swimming,7.0,8,fatal,VIC,-38.98333333,146.45,white shark,3.375,leg,male,,,Carcharodon carcharias
1840,unprovoked,swimming,1.0,12,fatal,NSW,-33.85,151.2166667,bull shark,2.4013698630136986,leg,male,,,Carcharhinus leucas
1841,unprovoked,swimming,25.0,4,fatal,NSW,-33.83333333,151.1666667,bull shark,2.4013698630136986,thigh,male,,,Carcharhinus leucas
1847,unprovoked,swimming,3.0,3,injured,QLD,-27.25,153.25,bull shark,2.4013698630136986,foot,male,,,Carcharhinus leucas
1847,unprovoked,swimming,30.0,11,injured,QLD,-27.43333333,153.0833333,bull shark,2.4013698630136986,"""thigh, calf""",male,,,Carcharhinus leucas
1849,provoked,swimming,1.0,1,fatal,WA,-33.36666667,115.2833333,white shark,3.375,Unknown,male,,,Carcharodon carcharias
1849,unprovoked,swimming,9.0,12,injured,VIC,-38.33333333,141.6,white shark,3.375,leg,male,,,Carcharodon carcharias
1849,unprovoked,swimming,2.0,12,fatal,NSW,-33.81666667,151.2,bull shark,2.4013698630136986,thigh,male,,,Carcharhinus leucas
1850,unprovoked,swimming,1.0,1,fatal,QLD,-27.28333333,153.2166667,tiger shark,3.166265060240964,other: body not recovered,male,,,Galeocerdo cuvier
1850,unprovoked,swimming,10.0,3,injured,NSW,-29.41666667,153.3333333,whaler shark,2.2,Unknown,male,,,Carcharhinidae
1853,provoked,swimming,9.0,11,injured,NSW,-33.85,151.2166667,wobbegong,1.0,leg,male,,,Orectolobidae
1855,unprovoked,swimming,1.0,1,injured,QLD,-25.5,152.7166667,bull shark,2.4013698630136986,leg,female,,,Carcharhinus leucas
1855,unprovoked,swimming,6.0,1,uninjured,NSW,-33.85,151.2166667,bull shark,2.4013698630136986,other: uninjured,male,,,Carcharhinus leucas
1855,unprovoked,swimming,28.0,7,fatal,QLD,-10.56666667,142.2,tiger shark,3.166265060240964,torso,male,,,Galeocerdo cuvier
1855,unprovoked,swimming,11.0,11,fatal,NSW,-33.86666667,151.2,bull shark,2.4013698630136986,leg,male,,,Carcharhinus leucas
1856,unprovoked,swimming,5.0,2,injured,VIC,-38.13333333,144.4166667,white shark,3.375,"""thigh, foot""",male,18.0,1900-01-01 21:00:00,Carcharodon carcharias
1856,unprovoked,unknown,22.0,5,injured,SA,-35.53333333,138.6833333,wobbegong,1.3408602150537634,Unknown,male,,,Orectolobidae
1858,unprovoked,swimming,14.0,3,fatal,VIC,-37.85,144.9,white shark,3.375,calf,male,22.0,1900-01-01 15:00:00,Carcharodon carcharias
1860,unprovoked,swimming,1.0,1,injured,SA,-35.56666667,138.6,white shark,3.375,arm,male,,,Carcharodon carcharias
1861,unprovoked,swimming,13.0,1,injured,QLD,-27.51666667,153.2666667,wobbegong,1.3408602150537634,"""arm, hand""",male,,,Orectolobidae
1862,unprovoked,swimming,10.0,2,injured,VIC,-37.85,144.9,white shark,3.375,leg,male,,,Carcharodon carcharias
1862,unprovoked,swimming,1.0,12,fatal,QLD,-27.36666667,153.15,bull shark,2.4013698630136986,other: body not recovered,male,,,Carcharhinus leucas
1863,unprovoked,swimming,10.0,1,fatal,NSW,-31.88333333,151.4666667,bull shark,2.4013698630136986,thigh,male,17.0,,Carcharhinus leucas
1863,provoked,swimming,1.0,1,fatal,QLD,-27.58333333,153.3166667,tiger shark,3.166265060240964,other: body not recovered,male,,,Galeocerdo cuvier
1863,unprovoked,swimming,5.0,3,injured,VIC,-37.9,144.9833333,white shark,3.375,"""torso, leg""",male,,1900-01-01 20:00:00,Carcharodon carcharias
1863,unprovoked,unknown,12.0,4,fatal,QLD,-26.8,153.1333333,tiger shark,3.166265060240964,other: body not recovered,male,,,Galeocerdo cuvier
1865,unprovoked,swimming,23.0,11,fatal,VIC,-37.86666667,144.8666667,white shark,3.375,thigh,male,33.0,,Carcharodon carcharias
1868,unprovoked,swimming,1.0,1,injured,QLD,-23.08333333,150.7333333,tiger shark,3.166265060240964,leg,male,,,Galeocerdo cuvier
1869,unprovoked,swimming,17.0,1,injured,QLD,-27.46666667,153,bull shark,2.4013698630136986,leg,male,,,Carcharhinus leucas
1869,provoked,fishing,17.0,3,injured,SA,-34.13333333,137.45,broadnose sevengill shark,2.2,foot,male,,,Notorynchus cepedianus
1870,unprovoked,swimming,9.0,1,injured,QLD,-27.46666667,153.0166667,bull shark,2.4013698630136986,thigh,male,17.0,,Carcharhinus leucas
1870,provoked,spearfishing,19.0,5,injured,QLD,-27.08333333,153.4,whaler shark,2.2,leg,male,13.0,,Carcharhinidae
1872,unprovoked,swimming,1.0,1,injured,QLD,-25.8,153.0166667,unknown species,1.9428571428571428,Unknown,male,,,Unknown species
1873,unprovoked,unmotorised boating,12.0,2,uninjured,SA,-34.83333333,138.4666667,white shark,3.375,other: uninjured,male,,,Carcharodon carcharias
1874,unprovoked,swimming,9.0,1,injured,NSW,-33.86666667,151.2,bull shark,2.4013698630136986,"""calf, foot""",male,,,Carcharhinus leucas
1874,unprovoked,swimming,21.0,11,injured,QLD,-25.5,152.7166667,bull shark,3.0,thigh,male,,,Carcharhinus leucas
1874,provoked,swimming,19.0,11,injured,NSW,-33,151.7166667,wobbegong,2.0,foot,male,,1900-01-01 19:00:00,Orectolobidae
1875,unprovoked,swimming,9.0,7,injured,NSW,-29.41666667,153.3333333,tiger shark,3.166265060240964,Unknown,male,,,Galeocerdo cuvier
1875,provoked,snorkelling,1.0,10,fatal,QLD,-10.25,142.1166667,tiger shark,3.166265060240964,leg,male,,,Galeocerdo cuvier
1875,provoked,swimming,1.0,11,injured,NSW,-29.4,153.3333333,white shark,3.375,foot,male,,,Carcharodon carcharias
1875,unprovoked,swimming,26.0,12,injured,NSW,-29.4,153.3333333,bull shark,2.4013698630136986,leg,male,,,Carcharhinus leucas
1876,provoked,snorkelling,1.0,1,injured,WA,-20.7,117.25,bull shark,2.4013698630136986,thigh,male,36.0,,Carcharhinus leucas
1876,unprovoked,swimming,30.0,1,injured,VIC,-37.86666667,144.9666667,white shark,3.375,Unknown,male,,,Carcharodon carcharias
1876,provoked,snorkelling,1.0,2,fatal,QLD,-10.25,142.1166667,tiger shark,3.166265060240964,torso,male,,,Galeocerdo cuvier
1876,unprovoked,swimming,6.0,2,fatal,VIC,-37.85,144.95,white shark,4.0,"""leg, pelvic region""",male,18.0,1900-01-01 06:00:00,Carcharodon carcharias
1876,provoked,diving,6.0,7,uninjured,NSW,-33.85,151.2,whaler shark,4.3,other: uninjured,male,,,Carcharhinidae
1876,unprovoked,swimming,1.0,12,injured,NSW,-32.76666667,151.7,bull shark,2.4013698630136986,leg,male,,,Carcharhinus leucas
1877,unprovoked,swimming,28.0,1,fatal,VIC,-37.83333333,144.9333333,white shark,3.375,Unknown,male,30.0,,Carcharodon carcharias
1877,unprovoked,swimming,20.0,1,injured,VIC,-38.38333333,142.4833333,white shark,3.375,foot,female,,,Carcharodon carcharias
1877,unprovoked,swimming,21.0,3,injured,VIC,-38.1,144.65,white shark,3.375,"""thigh, foot""",male,,,Carcharodon carcharias
